ply,side,n_legal,n_qualified,v_root,q1,q2,gap,F_gap,eff_actions,ease_entropy,F_tree_gap,F_flat_gap,F_tree_entropy,F_flat_entropy,best_move,fen,gap_hi
54,white,4,4,0.5262,0.6628,-0.0915,0.7543,0.0,1.0,0.0,0.1769,0.2572,0.1495,0.1784,b8f4,1Q4nr/4pk2/7b/1Np5/2Pp1q1p/2P4P/5KP1/1R3B1R w - - 0 1,0.8163
56,white,27,8,-0.9609,-0.9059,-0.9645,0.0587,0.1533,3.315,0.5763,0.7191,0.5658,0.7795,0.6351,d2e4,1r5r/2p1pk2/p3b2n/1p4b1/6Pp/1PNq3P/P2N1K2/3R3R w - - 0 1,0.003
56,white,34,9,-0.2885,-0.1133,-0.1335,0.0202,0.5242,2.484,0.4141,0.1901,0.2722,0.2101,0.2336,c4h4,r1b1k3/pppp2p1/3q3p/3P2r1/N1Q4n/P7/2P1NP2/2R1KB2 w - - 0 1,0.0326
57,black,23,10,-0.2343,-0.1318,-0.1682,0.0364,0.3123,4.503,0.6535,0.3143,0.2645,0.3866,0.339,c8h3,2b3n1/p3k3/n1pp4/1p5P/2pP4/4N2P/PP2N3/3RK3 b - - 0 1,0.0342
29,black,25,8,0.2302,0.3485,0.1691,0.1793,0.0032,1.044,0.0207,0.1788,0.1908,0.2319,0.1877,d7d6,rnbq1rk1/1p1p3p/4p2p/p4p2/2P4P/5NP1/P2NPP2/3QKB1R b - - 0 1,0.0226
58,white,40,8,0.984,0.999,0.9898,0.0092,0.7452,6.785,0.9208,0.6869,0.6799,0.8595,0.8829,h7f5,r3kb2/3R3Q/1p6/p4n1P/5p2/8/P2NKP2/4R3 w q a6 0 1,0.0051
58,white,39,8,0.9736,0.9965,0.9936,0.003,0.9092,6.365,0.8901,0.5311,0.6226,0.6914,0.7992,d6f4,r5nr/7P/p1pBb3/5k2/1P5p/5B2/1P3P1P/1R1QK2R w K - 0 1,0.0007
59,black,20,8,-0.2506,0.0258,-0.3288,0.3546,0.0,1.0,0.0001,0.3005,0.3785,0.3647,0.3729,h8c8,2R4r/p5bp/1p2k1p1/1R2pp2/5P2/4P2N/P2K2PP/8 b - - 0 1,0.3629
60,white,34,9,-0.7096,-0.5812,-0.5822,0.001,0.9676,2.292,0.3774,0.3348,0.4213,0.3041,0.2807,f1g1,5kr1/3q1p2/1p2pP2/3p4/r6P/1pPB2p1/P3K3/R1B2R2 w - - 0 1,0.0279
60,white,32,8,0.4344,0.6104,0.417,0.1934,0.0021,1.016,0.0075,0.1324,0.179,0.1775,0.2032,e1f1,2bnkr2/1pp4p/4pq2/r7/2P3p1/1Q2K1PP/4P1B1/2B1R1NR w - - 0 1,0.0336
60,white,18,8,-0.9998,-0.9996,-0.9999,0.0003,0.9903,8.0,1.0,0.9894,0.9889,0.9998,0.9997,e2c2,5b2/1r3krp/q2p1p1p/p2Pp2P/2n1P1b1/5N2/4RPP1/3K4 w - - 0 1,0.0003
39,black,33,9,0.0161,0.1562,0.0826,0.0737,0.0948,1.91,0.2944,0.1489,0.1976,0.2008,0.2964,d6d5,1rb1kbnr/pp1q2p1/1n1p1p2/2p1p3/2P1P3/P1NPBP1P/1P2KQ1P/RN3BR1 b - - 0 1,0.0657
63,black,32,8,-0.5282,-0.4135,-0.4376,0.0241,0.4631,2.808,0.4964,0.2107,0.2033,0.2412,0.2123,d7c8,1nN4r/r2kpp2/p1p1q3/P2p3P/1P1P2Pb/R7/1P2BP1R/2BQK3 b - - 0 1,0.0143
63,black,30,8,-0.1096,0.3217,-0.5057,0.8274,0.0,1.0,0.0,0.1031,0.0785,0.1452,0.0992,f4f2,2b2r2/3p2kp/3P3p/2P5/R1B2q2/1P1Q2pP/8/4R1K1 b - - 0 1,1.4482
51,black,25,8,-0.7831,-0.7173,-0.7228,0.0055,0.8384,2.728,0.4826,0.3114,0.3499,0.3515,0.34,h3h2,rn6/3qn3/pQpp2kp/5p2/1PP3b1/P1B4p/3NP1P1/R3KBNR b - - 0 1,0.0195
21,black,33,8,0.3753,0.7637,0.0601,0.7036,0.0,1.0,0.0,0.1051,0.0878,0.1428,0.1338,c2a1,r1bqk1nr/pp3ppp/4pb2/3p4/3P4/2N1P1QP/PPnK1PP1/R1B2BNR b kq - 0 1,0.5935
9,black,30,8,-0.3435,-0.1359,-0.2419,0.106,0.0337,1.155,0.0694,0.1062,0.144,0.1291,0.1428,d7d5,rnbqkbnr/1p1p2pp/p1p1p3/5p2/2PP4/N4NP1/PP2PP1P/R1BQKB1R b KQkq - 0 1,0.1175
14,white,29,9,0.3196,0.4212,0.3974,0.0238,0.4672,3.229,0.5334,0.1469,0.2273,0.1683,0.2117,g1f3,1nbqkbnr/rppp1p1p/6p1/4p3/p3P1P1/N1P4P/PP1P1P2/R1BQKBNR w KQk - 0 1,0.0661
57,black,25,8,0.2164,0.3257,0.2642,0.0615,0.1399,2.442,0.4293,0.1817,0.1924,0.2864,0.2919,a8e8,r4k2/1qp4n/p2p3n/3P1p1p/1P3P1P/2B1NP2/P4KP1/3RR3 b - - 0 1,0.0165
66,white,24,9,-0.9051,-0.8547,-0.8839,0.0292,0.3926,5.306,0.7596,0.2969,0.4229,0.4184,0.4833,c7b7,4k1r1/2R3b1/p1P1b2n/5p2/P4P2/2r2N1P/4K1P1/8 w - - 0 1,0.0211
22,white,41,9,0.0101,0.0886,0.0745,0.0141,0.6377,5.242,0.754,0.1739,0.3028,0.1986,0.3181,c5b6,rn2kbnr/pb1p1p1p/1p3q2/2P1p3/4p1P1/2P5/PP3NBP/RNBQK2R w KQkq - 0 1,0.0449
68,white,39,9,-0.635,-0.4702,-0.5536,0.0834,0.0695,1.753,0.2555,0.2259,0.1771,0.2571,0.1985,a4d4,1rbk2r1/5p2/pn3q2/5Pp1/Q7/5N1P/P3B3/4K2R w - - 0 1,0.0607
70,white,43,8,0.8968,0.988,0.9875,0.0005,0.9843,5.044,0.7782,0.6278,0.6194,0.7621,0.7774,d7e7,1R2bk1r/3Qn1p1/6P1/p3p3/8/B1P1P2P/2P4K/8 w - - 0 1,0.01
71,black,36,8,0.5396,0.5946,0.5879,0.0067,0.8067,5.008,0.7748,0.3066,0.4724,0.3193,0.4388,c3c2,3r3r/2b2k2/p4p2/2P3p1/3P2P1/2p2P1P/R3N3/3K4 b - - 0 1,0.0123
6,white,26,10,0.312,0.3907,0.3827,0.008,0.7741,4.584,0.6612,0.2215,0.3608,0.2303,0.3093,b1a3,rnbq1b1r/pppppkpp/5n2/5p2/8/5NP1/PPPPPPBP/RNBQK2R w KQ - 0 1,0.0167
73,black,29,8,0.9857,1.0,1.0,0.0,1.0,6.755,0.9186,0.9277,0.8847,0.9344,0.8994,b7b6,1n4n1/rp3k2/p1p2p2/P1q2P1K/8/8/P7/8 b - - 0 1,0.0
47,black,36,8,0.0453,0.2619,0.1093,0.1525,0.0076,1.047,0.0222,0.1079,0.1317,0.1513,0.1375,d7d6,3kr3/3qp2p/r1p1bnp1/1p6/1p1pBQ1N/3P3P/P2N1P2/R4KR1 b - - 0 1,0.0362
58,white,36,8,0.9999,1.0,1.0,0.0,0.9995,8.0,1.0,0.9867,0.9861,0.9999,0.9999,c2c4,2k2b2/4p3/1n1p4/5Pp1/3P4/3Q1B1P/2P4P/1N3R1K w - - 0 1,0.0
74,white,41,8,0.5927,0.8756,0.574,0.3016,0.0001,1.001,0.0004,0.1858,0.2183,0.2702,0.3016,b4b8,1r6/p4kbr/6p1/5p1p/pQ5P/6P1/3K2B1/6NR w - - 0 1,0.3307
75,black,31,8,0.9784,0.9995,0.9964,0.0031,0.9066,6.416,0.8939,0.8113,0.8228,0.9035,0.8915,h3h2,3r3k/8/5pq1/6p1/B2Pp3/4P2r/P2B1P1P/5K2 b - - 0 1,0.0032
